MJS LOCADORA LTDA                                                                                CNPJ: 488.890.0001/58
Rua Manoel Barros da Silva, s/n, Centro                                                                     16:01:2015
São Benedito do Sul-PE                                                                                        19:45:47
atendimento@mjslocadora.com                      RELATÓRIO DE FILMES                                           Pag.: 1
----------------------------------------------------------------------------------------------------------------------
Código | Título                             | Sinopse                                        | Quantidade | Categoria 
----------------------------------------------------------------------------------------------------------------------
  1    | Poeira em Alto Mar 3               | Esse filme retrata o romance entre dois jov... |          2 |           
  2    | filme                              | asdnfasdnfloaisdnfaiuh...                      |          4 |    nen    
  3    | Passando um Mês com Salário Mínimo | Não escrevi uma sinopse porque não dá pra e... |         50 |           
  4    | outro                              | kasdfasndfiausndfaudn...                       |          2 |           
  5    | mais                               | knfasnfasfnais...                              |          3 |    qual   
  6    | 71 No Meio do Fogo                 | 71 soldados estudantes do sul da Coreia dev... |          2 |           
  7    | Santos e Soldados                  | Em 15 de agosto de 1944, o 517° Regimento d... |         10 |           
  8    | O legado Bourne                    | O legado Bourne expande o universo Bourne c... |         20 |           
  9    | Silent Hill - Revelation           | Return to a place of insanity and blood-cur... |          3 |           
  10   | Oblivion                           | Esse filme de ficção conta mais uma históri... |          5 |           
  11   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  12   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  13   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  14   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  15   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  16   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  17   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  18   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  19   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  20   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  21   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  22   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  23   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  24   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  25   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  26   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  27   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  28   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  29   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  30   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  31   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  32   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  33   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
